Зеленая миля,1999,US,9.1,127148
Список Шиндлера,1993,US,8.8,473203
Побег из Шоушенка,1994,US,9.1,907559
Форрест Гамп,1994,US,8.9,805949
Тайна Коко,2017,US,8.7,620789
Властелин колец: Возвращение короля,2003,NZ,8.7,551487
Интерстеллар,2014,US,8.6,858786
Иван Васильевич меняет профессию,1973,SU,8.8,124155
1+1,2011,FR,8.8,1562775
Гарри Поттер и узник Азкабана,2004,GB,8.2,600590
